time,x-acceleration,y-acceleration,z-acceleration,output
0,0.577,0.532,0.598,drum
0.02,0.587,0.539,0.6,drum
0.04,0.59,0.537,0.595,drum
0.06,0.589,0.533,0.591,drum
0.08,0.584,0.534,0.59,drum
0.1,0.578,0.537,0.596,drum
0.12,0.586,0.543,0.602,drum
0.14,0.589,0.552,0.597,drum
0.16,0.593,0.55,0.587,drum
0.18,0.598,0.541,0.577,drum
0.2,0.592,0.538,0.572,drum
0.22,0.579,0.538,0.587,drum
0.24,0.576,0.538,0.603,drum
0.26,0.592,0.54,0.606,drum
0.28,0.599,0.539,0.605,drum
0.3,0.593,0.532,0.597,drum
0.32,0.595,0.521,0.595,drum
0.34,0.597,0.516,0.606,drum
0.36,0.595,0.52,0.616,drum
0.38,0.595,0.523,0.609,drum
0.4,0.595,0.525,0.598,drum
0.42,0.594,0.525,0.596,drum
0.44,0.604,0.526,0.595,drum
0.46,0.602,0.527,0.597,drum
0.48,0.588,0.53,0.599,drum
0.5,0.568,0.528,0.599,drum
0.52,0.574,0.524,0.591,drum
0.54,0.587,0.518,0.587,drum
0.56,0.603,0.521,0.595,drum
0.58,0.607,0.538,0.599,drum
0.6,0.598,0.539,0.602,drum
0.62,0.603,0.53,0.6,drum
0.64,0.618,0.52,0.598,drum
0.66,0.618,0.514,0.599,drum
0.68,0.627,0.509,0.604,drum
0.7,0.637,0.509,0.608,drum
0.72,0.626,0.504,0.608,drum
0.74,0.615,0.488,0.6,drum
0.76,0.621,0.469,0.602,drum
0.78,0.63,0.466,0.605,drum
0.8,0.629,0.468,0.601,drum
0.82,0.637,0.466,0.598,drum
0.84,0.641,0.459,0.604,drum
0.86,0.643,0.451,0.629,drum
0.88,0.635,0.454,0.64,drum
0.9,0.639,0.459,0.632,drum
0.92,0.655,0.453,0.629,drum
0.94,0.643,0.454,0.635,drum
0.96,0.628,0.453,0.642,drum
0.98,0.626,0.441,0.635,drum
1,0.641,0.42,0.633,drum
1.02,0.654,0.407,0.643,drum
